temp,humidity,windspeed,count
0.68,0.65,0.4478,528
0.64,0.78,0.2836,156
0.68,0.74,0.2836,148
0.62,0.88,0.3284,129
0.44,0.51,0.3582,156
0.46,0.82,0.1045,250
0.44,0.77,0.1642,17
0.54,0.77,0.2239,108
0.62,0.69,0.1343,218
0.7,0.58,0.5224,158
0.58,0.6,0.3881,113
0.56,0.68,0.3284,62
0.38,0.94,0.3284,3
0.56,0.26,0.2836,520
0.48,0.67,0.1343,152
0.46,0.72,0.2239,151
0.44,0.82,0.1343,120
0.42,0.82,0.0896,52
0.46,0.59,0.1343,7
0.58,0.37,0.1642,289
0.5,0.59,0.1045,100
0.56,0.52,0.194,119
0.46,0.82,0.1343,99
0.46,0.88,0.2239,44
0.44,0.88,0.1343,5
0.5,0.77,0.2836,212
0.62,0.57,0.2985,218
0.6,0.64,0.194,276
0.54,0.77,0.194,103
0.48,1.0,0.0,32
0.54,0.94,0.1642,26
0.52,1.0,0.1343,17
0.6,0.69,0.2537,349
0.54,0.88,0.2836,106
0.48,0.94,0.0,5
0.56,0.64,0.1045,195
0.58,0.78,0.0896,145
0.54,0.88,0.1642,131
0.64,0.89,0.2239,188
0.58,0.94,0.1045,2
0.6,0.83,0.2239,35
0.62,0.73,0.1343,313
0.7,0.58,0.2985,50
0.66,0.74,0.2836,418
0.74,0.55,0.3284,166
0.78,0.49,0.2836,356
0.58,0.88,0.1343,127
0.56,0.88,0.2537,4
0.62,0.88,0.1045,26
0.74,0.7,0.2836,361
0.64,0.94,0.194,45
0.64,0.94,0.194,18
0.52,0.48,0.1045,225
0.7,0.79,0.1642,3
0.86,0.47,0.2985,266
0.74,0.79,0.2537,256
0.66,0.39,0.2239,31
0.7,0.32,0.2985,467
0.76,0.2,0.5224,572
0.62,0.35,0.2239,112
0.6,0.38,0.3582,22
0.54,0.45,0.2985,106
0.7,0.28,0.2836,240
0.58,0.46,0.1045,171
0.74,0.33,0.2239,451
0.74,0.27,0.4179,404
0.64,0.73,0.1642,165
0.64,0.73,0.0896,438
0.68,0.61,0.1343,477
0.76,0.48,0.194,123
0.62,0.88,0.0,21
0.76,0.58,0.1642,481
0.9,0.42,0.2239,118
0.62,0.88,0.1045,14
0.6,0.6,0.4925,7
0.62,0.46,0.3582,224
0.54,0.56,0.2985,113
0.72,0.54,0.2537,151
0.62,0.88,0.1343,104
0.6,0.88,0.0896,5
0.66,0.78,0.0896,131
0.74,0.58,0.0896,296
0.66,0.78,0.2239,152
0.7,0.79,0.1045,109
0.66,0.78,0.194,33
0.66,0.83,0.0,122
0.82,0.52,0.2836,145
0.72,0.79,0.2239,105
0.76,0.52,0.3582,189
0.7,0.74,0.2836,105
0.82,0.34,0.3881,216
0.64,0.57,0.2836,42
0.72,0.45,0.2537,307
0.72,0.42,0.1642,421
0.68,0.79,0.2836,36
0.66,0.5,0.1642,54
0.6,0.6,0.1642,9
0.62,0.57,0.0,6
0.62,0.61,0.1343,108
0.58,0.73,0.1045,14
0.84,0.2,0.0,392
0.86,0.19,0.1642,331
0.84,0.3,0.2239,349
0.72,0.51,0.1642,201
0.62,0.94,0.0896,3
0.82,0.41,0.0,452
0.72,0.7,0.1045,138
0.7,0.65,0.1045,39
0.66,0.69,0.0,20
0.7,0.65,0.0896,270
0.7,0.79,0.0,6
0.68,0.83,0.0896,35
0.64,0.89,0.1343,118
0.66,0.89,0.1045,292
0.86,0.39,0.2239,265
0.82,0.52,0.2836,365
0.7,0.7,0.2537,182
0.82,0.41,0.2239,416
0.76,0.55,0.1642,306
0.72,0.62,0.1642,214
0.66,0.74,0.0896,25
0.74,0.66,0.0896,169
0.72,0.74,0.4179,236
0.8,0.49,0.2537,449
0.82,0.41,0.194,186
0.68,0.83,0.194,184
0.7,0.42,0.2537,127
0.72,0.45,0.2239,496
0.66,0.65,0.1642,127
0.62,0.73,0.1642,10
0.76,0.55,0.2836,379
0.66,0.83,0.2239,10
0.72,0.74,0.1045,134
0.84,0.56,0.0896,153
0.74,0.7,0.0896,209
0.82,0.59,0.0,149
0.8,0.63,0.0,24
0.8,0.59,0.194,125
0.78,0.66,0.0896,8
0.82,0.59,0.0,84
0.78,0.49,0.2239,267
0.78,0.52,0.1642,45
0.7,0.61,0.1045,6
0.86,0.5,0.194,146
0.84,0.53,0.194,468
0.8,0.63,0.194,270
0.74,0.58,0.1343,45
0.78,0.59,0.2985,164
0.66,0.83,0.1045,26
0.72,0.61,0.2836,335
0.74,0.51,0.2239,271
0.7,0.65,0.2239,454
0.8,0.49,0.2537,330
0.64,0.89,0.1045,27
0.78,0.62,0.2239,349
0.72,0.79,0.1642,228
0.82,0.46,0.2537,182
0.8,0.55,0.0,286
0.82,0.56,0.194,185
0.78,0.46,0.2537,230
0.68,0.61,0.0,119
0.82,0.28,0.2985,559
0.8,0.27,0.194,298
0.74,0.7,0.194,314
0.64,0.78,0.3284,222
0.68,0.61,0.2836,198
0.64,0.73,0.1642,14
0.8,0.41,0.194,176
0.66,0.83,0.1045,141
0.66,0.83,0.0,398
0.62,0.83,0.2985,58
0.72,0.58,0.0,338
0.7,0.74,0.194,74
0.68,0.83,0.2239,6
0.72,0.7,0.2537,282
0.66,0.61,0.2985,112
0.54,0.56,0.1642,5
0.72,0.58,0.2985,334
0.7,0.61,0.3582,236
0.78,0.62,0.1045,343
0.7,0.84,0.0896,136
0.7,0.61,0.6119,142
0.64,0.69,0.1045,98
0.7,0.42,0.0,182
0.72,0.37,0.0,237
0.64,0.69,0.2239,41
0.64,0.84,0.2239,3
0.74,0.7,0.2985,229
0.54,0.88,0.2836,24
0.54,0.88,0.3881,291
0.7,0.79,0.3582,120
0.62,0.94,0.1642,136
0.64,0.94,0.0,75
0.66,0.89,0.0,203
0.64,0.78,0.2985,207
0.64,0.78,0.0896,230
0.7,0.65,0.0,411
0.54,0.94,0.1045,4
0.56,0.88,0.0,20
0.7,0.61,0.1642,153
0.7,0.7,0.1343,142
0.68,0.65,0.1343,159
0.48,0.67,0.0896,167
0.5,0.59,0.0,126
0.46,0.72,0.1343,28
0.44,0.82,0.194,36
0.56,0.64,0.194,325
0.54,0.68,0.194,54
0.56,0.68,0.1045,374
0.56,0.73,0.1642,25
0.54,0.88,0.1642,5
0.56,0.88,0.1642,30
0.62,0.78,0.1045,192
0.54,1.0,0.0,27
0.62,0.94,0.1343,317
0.62,0.94,0.0896,137
0.7,0.74,0.1642,187
0.62,0.94,0.1045,11
0.62,0.94,0.0896,8
0.66,0.89,0.1045,123
0.7,0.7,0.2239,591
0.6,0.88,0.194,7
0.62,0.61,0.194,158
0.52,0.77,0.1045,81
0.52,0.83,0.194,8
0.56,0.73,0.194,237
0.6,0.64,0.0,168
0.64,0.5,0.2836,245
0.62,0.53,0.2239,360
0.58,0.49,0.3582,511
0.4,0.76,0.194,228
0.4,0.62,0.194,321
0.4,0.82,0.0,91
0.56,0.56,0.2985,199
0.54,0.64,0.2836,524
0.62,0.43,0.3284,214
0.46,0.82,0.0,148
0.46,0.88,0.0,11
0.7,0.48,0.0896,365
0.74,0.37,0.0,370
0.52,0.83,0.0896,123
0.6,0.69,0.1343,149
0.54,0.94,0.0896,54
0.56,0.9,0.1642,209
0.52,0.88,0.1642,87
0.62,0.43,0.2836,230
0.42,0.54,0.1343,42
0.5,0.55,0.2537,114
0.58,0.56,0.2537,302
0.48,0.82,0.0,31
0.52,0.83,0.2537,31
0.52,0.88,0.4925,123
0.54,1.0,0.1343,120
0.34,0.76,0.194,31
0.48,0.48,0.3284,206
0.36,0.71,0.0,18
0.54,0.64,0.194,206
0.42,0.71,0.2239,21
0.48,0.88,0.0896,15
0.32,0.66,0.2836,4
0.3,0.7,0.2836,8
0.36,0.5,0.2239,168
0.3,0.75,0.0,71
0.5,0.45,0.1343,186
0.48,0.44,0.1642,298
0.32,0.87,0.0,472
0.42,0.71,0.1343,144
0.36,0.71,0.1343,106
0.5,0.51,0.194,179
0.52,0.48,0.194,267
0.42,0.71,0.3284,134
0.42,0.58,0.0896,320
0.44,0.54,0.0,346
0.28,0.93,0.0,99
0.3,0.87,0.0,99
0.46,0.67,0.1642,152
0.46,0.67,0.3881,108
0.34,0.42,0.4925,170
0.62,0.46,0.2537,519
0.46,0.94,0.1045,13
0.46,0.94,0.0896,56
0.42,0.82,0.2239,5
0.32,0.66,0.3284,97
0.3,0.45,0.2239,217
0.34,0.31,0.2239,177
0.32,0.45,0.2537,200
0.36,0.4,0.0,233
0.38,0.62,0.1642,106
0.46,0.94,0.1642,246
0.5,0.77,0.1343,162
0.42,0.94,0.2985,210
0.4,0.87,0.2239,80
0.4,0.94,0.0,149
0.52,0.94,0.194,167
0.42,0.54,0.4478,207
0.38,0.58,0.3881,122
0.36,0.76,0.1642,31
0.36,0.71,0.1642,142
0.4,0.66,0.1045,226
0.46,0.44,0.0896,153
0.46,0.47,0.1343,184
0.54,0.73,0.2537,218
0.4,0.82,0.2985,358
0.3,0.75,0.2239,5
0.36,0.46,0.3284,115
0.26,0.56,0.2836,1
0.4,0.4,0.2239,154
0.4,0.4,0.2239,154
0.26,0.87,0.0,26
0.32,0.87,0.0896,24
0.46,0.72,0.0896,148
0.46,0.87,0.194,3
0.46,0.94,0.2836,50
0.44,1.0,0.194,33
0.48,1.0,0.4179,18
0.34,0.61,0.0,318
0.3,0.75,0.0,140
0.26,0.7,0.1642,66
0.22,0.69,0.1045,105
0.22,0.8,0.0,17
0.18,0.8,0.0,3
0.26,0.6,0.1642,233
0.36,0.43,0.3582,167
0.3,0.52,0.1642,107
0.26,0.7,0.0,59
0.52,0.63,0.3284,124
0.46,0.82,0.1343,5
0.44,0.33,0.2985,82
0.3,0.52,0.2537,43
0.36,0.5,0.194,354
0.44,0.54,0.1343,175
0.4,0.62,0.1642,431
0.36,0.87,0.0,76
0.44,0.94,0.0896,15
0.38,0.82,0.0,16
0.34,0.53,0.194,76
0.22,0.69,0.1343,4
0.22,0.72,0.0,4
0.36,0.57,0.1045,86
0.32,0.45,0.1343,18
0.3,0.65,0.2239,3
0.3,0.81,0.0896,24
0.32,0.87,0.1642,10
0.22,0.44,0.1343,70
0.3,0.52,0.1642,177
0.42,0.44,0.0,292
0.36,0.66,0.2537,73
0.26,0.93,0.1343,2
0.26,0.41,0.3881,14
0.24,0.41,0.2239,88
0.16,0.55,0.2836,354
0.02,0.41,0.1642,59
0.02,0.44,0.1343,315
0.04,0.45,0.1343,180
0.14,0.43,0.2537,91
0.18,0.4,0.2836,131
0.2,0.44,0.1045,32
0.44,0.44,0.2239,140
0.24,0.6,0.0,108
0.22,0.87,0.0896,49
0.38,0.46,0.1045,281
0.2,0.8,0.1343,22
0.34,0.87,0.0896,79
0.32,0.93,0.2239,93
0.32,0.93,0.1642,57
0.34,0.81,0.1045,119
0.44,0.72,0.1343,188
0.24,0.52,0.3582,419
0.24,0.41,0.2836,102
0.24,0.41,0.2537,144
0.22,0.41,0.194,143
0.16,0.47,0.2239,76
0.16,0.47,0.3881,6
0.16,0.4,0.1642,72
0.14,0.46,0.1343,25
0.26,0.48,0.3284,193
0.34,0.87,0.1045,75
0.26,0.44,0.4179,90
0.22,0.6,0.1045,3
0.22,0.32,0.0896,349
0.14,0.86,0.194,23
0.14,0.86,0.0,26
0.2,0.75,0.3881,110
0.18,0.74,0.3284,69
0.16,0.74,0.2239,4
0.16,0.74,0.2836,129
0.24,0.96,0.1045,276
0.28,0.93,0.3284,37
0.32,0.66,0.1343,439
0.4,0.71,0.0896,224
0.42,0.44,0.3881,290
0.36,0.25,0.2836,310
0.32,0.26,0.4179,10
0.3,0.31,0.194,132
0.3,0.39,0.1642,181
0.3,0.42,0.2985,8
0.3,0.49,0.194,1
0.3,0.52,0.194,261
0.44,0.41,0.2836,4
0.44,0.44,0.194,3
0.4,0.5,0.1642,18
0.38,0.87,0.0,228
0.46,0.55,0.2836,229
0.32,0.53,0.2985,164
0.34,0.49,0.1045,267
0.26,0.7,0.1045,86
0.16,0.86,0.1045,234
0.3,0.7,0.0,2
0.24,0.7,0.0,98
0.2,0.69,0.2537,267
0.2,0.59,0.1642,448
0.26,0.48,0.1343,124
0.12,0.5,0.194,205
0.14,0.5,0.1343,71
0.36,0.5,0.1642,281
0.36,0.5,0.1045,77
0.32,0.57,0.0,22
0.42,0.41,0.3582,134
0.3,0.7,0.0,20
0.28,0.93,0.1642,16
0.38,0.37,0.194,129
0.24,0.87,0.0896,20
0.2,0.59,0.3582,120
0.32,0.76,0.1642,90
0.52,0.32,0.3881,529
0.44,0.58,0.2836,15
0.44,0.62,0.2239,9
0.36,0.81,0.2239,326
0.36,0.81,0.2537,242
0.54,0.37,0.1343,522
0.44,0.51,0.2239,222
0.26,0.6,0.2537,29
0.54,0.24,0.4478,529
0.4,0.32,0.3582,6
0.42,0.26,0.0896,530
0.4,0.87,0.1642,253
0.48,0.88,0.1642,18
0.42,0.94,0.0,109
0.44,0.94,0.1343,304
0.36,0.87,0.194,174
0.44,0.3,0.1343,149
0.34,0.42,0.3582,327
0.24,0.48,0.1343,6
0.18,0.51,0.2239,25
0.32,0.36,0.2239,136
0.52,0.36,0.3284,175
0.42,0.77,0.2239,29
0.56,0.49,0.3284,153
0.34,0.36,0.4925,159
0.36,0.23,0.0,354
0.5,0.31,0.3582,509
0.52,0.72,0.2985,1
0.52,0.72,0.2985,2
0.54,0.73,0.2836,219
0.52,0.63,0.0896,27
0.5,0.68,0.194,2
0.7,0.32,0.0,749
0.5,0.59,0.1045,23
0.56,0.6,0.1343,211
0.72,0.32,0.2239,287
0.4,0.87,0.1642,99
0.44,0.88,0.0,26
0.56,0.64,0.194,271
0.44,0.82,0.1642,368
0.62,0.61,0.2239,549
0.52,0.83,0.0,90
0.52,0.83,0.0896,6
0.52,0.83,0.0896,7
0.48,1.0,0.0896,361
0.58,0.78,0.0896,298
0.56,0.83,0.0896,151
0.5,0.94,0.0,34
0.56,0.88,0.1045,275
0.6,0.69,0.2537,176
0.58,0.68,0.0,156
0.42,0.94,0.3284,8
0.4,0.87,0.3284,250
0.44,0.72,0.194,370
0.22,0.37,0.194,286
0.3,0.31,0.1642,175
0.4,0.24,0.1343,184
0.52,0.52,0.2985,432
0.5,0.51,0.0,158
0.48,0.48,0.0,41
0.46,0.51,0.0,5
0.64,0.44,0.2836,268
0.34,0.49,0.194,354
0.5,0.27,0.2836,537
0.42,0.28,0.2537,363
0.42,0.5,0.2239,9
0.36,0.4,0.4179,62
0.44,0.33,0.2985,307
0.32,0.61,0.2537,5
0.3,0.65,0.2537,96
0.42,0.54,0.1343,265
0.58,0.53,0.2239,421
0.64,0.44,0.2836,635
0.68,0.57,0.2537,271
0.56,0.83,0.0896,6
0.6,0.53,0.2537,30
0.6,0.43,0.2537,461
0.64,0.27,0.2836,257
0.5,0.63,0.1045,144
0.58,0.53,0.194,362
0.64,0.44,0.2239,394
0.5,0.82,0.2537,1
0.5,0.82,0.2985,39
0.38,0.87,0.3284,61
0.36,0.93,0.4179,35
0.32,0.7,0.3582,101
0.32,0.76,0.194,89
0.3,0.7,0.194,22
0.46,0.28,0.1642,226
0.52,0.52,0.1343,239
0.54,0.77,0.2239,464
0.4,0.43,0.2537,120
0.52,0.29,0.4925,324
0.46,0.31,0.2836,289
0.34,0.49,0.1642,2
0.34,0.87,0.1343,7
0.48,0.44,0.1045,584
0.56,0.32,0.0896,243
0.5,0.45,0.0,108
0.56,0.6,0.1642,683
0.56,0.6,0.2239,664
0.52,0.94,0.2836,557
0.7,0.54,0.1343,743
0.56,0.88,0.0,666
0.56,0.88,0.0,315
0.52,0.77,0.2239,239
0.72,0.58,0.1343,706
0.68,0.51,0.1045,313
0.7,0.58,0.0896,575
0.6,0.64,0.0896,558
0.6,0.53,0.3881,388
0.56,0.68,0.3582,295
0.6,0.78,0.2537,14
0.5,0.77,0.3582,98
0.48,0.82,0.1045,67
0.6,0.31,0.3881,732
0.52,0.4,0.3284,374
0.5,0.42,0.194,230
0.46,0.41,0.2836,13
0.66,0.36,0.194,615
0.6,0.6,0.2985,2
0.58,0.78,0.1045,75
0.64,0.73,0.2836,109
0.56,0.83,0.0,440
0.52,0.55,0.4478,634
0.6,0.43,0.194,348
0.66,0.31,0.1343,852
0.46,0.67,0.0,12
0.68,0.41,0.0896,315
0.54,0.56,0.0896,66
0.56,0.88,0.2985,79
0.66,0.69,0.2537,508
0.66,0.69,0.0896,448
0.56,0.88,0.1045,137
0.7,0.61,0.0896,245
0.62,0.78,0.1343,261
0.62,0.73,0.1045,105
0.6,0.83,0.1343,106
0.6,0.88,0.0,16
0.6,0.88,0.1642,5
0.64,0.65,0.1343,185
0.74,0.55,0.2537,291
0.74,0.55,0.3582,390
0.62,0.83,0.0896,42
0.62,0.83,0.0,23
0.64,0.89,0.1045,583
0.74,0.62,0.1343,333
0.82,0.56,0.2985,460
0.74,0.7,0.2985,183
0.82,0.49,0.4925,393
0.78,0.52,0.3582,526
0.54,0.6,0.1343,431
0.62,0.69,0.2537,33
0.6,0.64,0.2836,507
0.66,0.5,0.2537,86
0.7,0.74,0.3582,310
0.5,0.77,0.194,36
0.64,0.41,0.4627,187
0.64,0.41,0.4478,282
0.64,0.38,0.4478,834
0.52,0.72,0.2985,8
0.48,0.77,0.2239,710
0.56,0.56,0.194,227
0.52,0.68,0.0,27
0.48,0.77,0.0,172
0.64,0.38,0.0,302
0.52,0.63,0.0,10
0.82,0.23,0.194,593
0.82,0.24,0.194,534
0.74,0.4,0.194,316
0.82,0.28,0.2836,375
0.72,0.58,0.1045,110
0.66,0.89,0.2836,239
0.66,0.89,0.2836,681
0.68,0.36,0.4179,448
0.62,0.5,0.2985,238
0.58,0.78,0.194,51
0.72,0.37,0.1045,542
0.72,0.37,0.2537,593
0.56,0.56,0.1343,148
0.54,0.64,0.1045,28
0.54,0.68,0.1343,17
0.62,0.57,0.194,302
0.54,0.77,0.194,9
0.52,0.88,0.1343,37
0.8,0.55,0.1642,795
0.86,0.47,0.1642,180
0.78,0.59,0.1045,123
0.8,0.27,0.194,425
0.84,0.3,0.2985,551
0.66,0.78,0.2537,4
0.54,0.45,0.2836,9
0.72,0.28,0.2239,612
0.56,0.49,0.1343,14
0.82,0.24,0.4478,392
0.68,0.47,0.1343,159
0.9,0.29,0.1642,373
0.8,0.43,0.2537,174
0.84,0.36,0.2836,365
0.7,0.61,0.0,35
0.68,0.79,0.194,177
0.76,0.52,0.0,293
0.82,0.46,0.1343,485
0.74,0.51,0.0,18
0.72,0.58,0.0,133
0.78,0.62,0.1343,102
0.84,0.32,0.0896,233
0.92,0.29,0.194,285
0.82,0.63,0.194,152
0.96,0.31,0.2537,360
0.78,0.62,0.0,6
0.66,0.83,0.2239,230
0.7,0.65,0.1045,131
0.68,0.79,0.1045,187
0.72,0.74,0.1343,649
0.64,0.89,0.1343,7
0.8,0.36,0.194,271
0.7,0.84,0.1343,133
0.86,0.47,0.1343,489
0.68,0.79,0.1343,140
0.84,0.49,0.2836,239
0.94,0.29,0.2537,214
0.74,0.62,0.0896,366
0.72,0.7,0.194,7
0.84,0.47,0.1343,254
0.66,0.89,0.2239,65
0.6,0.88,0.2537,380
0.6,0.88,0.194,177
0.74,0.74,0.1343,345
0.7,0.74,0.1343,64
0.66,0.65,0.2239,29
0.7,0.74,0.2537,729
0.72,0.7,0.0,97
0.72,0.7,0.1343,76
0.86,0.39,0.2239,487
0.68,0.83,0.0,338
0.68,0.74,0.0,8
0.8,0.49,0.2239,254
0.66,0.83,0.1343,21
0.8,0.55,0.2836,288
0.76,0.55,0.2836,857
0.72,0.66,0.0896,236
0.78,0.62,0.4627,270
0.82,0.52,0.2537,865
0.8,0.63,0.1642,607
0.66,0.83,0.1642,37
0.72,0.84,0.194,122
0.72,0.84,0.1343,84
0.9,0.37,0.5224,450
0.7,0.74,0.1343,327
0.78,0.62,0.1343,868
0.64,0.69,0.1045,36
0.72,0.62,0.3284,192
0.72,0.62,0.194,233
0.7,0.61,0.194,315
0.66,0.69,0.0,76
0.76,0.37,0.0896,274
0.62,0.88,0.194,30
0.76,0.37,0.2836,598
0.6,0.78,0.1343,161
0.72,0.54,0.1642,275
0.66,0.61,0.1045,178
0.62,0.83,0.0896,481
0.64,0.89,0.2836,391
0.76,0.57,0.1642,288
0.74,0.7,0.194,416
0.6,0.73,0.194,181
0.74,0.62,0.1045,168
0.86,0.44,0.1642,514
0.74,0.7,0.2836,459
0.66,0.89,0.0,38
0.74,0.7,0.1642,662
0.7,0.84,0.0896,65
0.7,0.84,0.1045,9
0.7,0.84,0.0896,8
0.7,0.79,0.0,646
0.72,0.66,0.2239,391
0.7,0.74,0.3881,348
0.52,0.59,0.1045,32
0.48,0.72,0.1045,9
0.56,0.6,0.1045,310
0.54,0.68,0.1045,109
0.7,0.37,0.1642,278
0.56,0.64,0.0896,212
0.54,0.77,0.0,9
0.52,0.83,0.0,11
0.68,0.57,0.2537,852
0.7,0.54,0.194,408
0.66,0.61,0.1045,404
0.66,0.36,0.3582,706
0.64,0.36,0.2836,614
0.6,0.94,0.2537,70
0.64,0.89,0.3284,167
0.68,0.83,0.4478,88
0.6,0.88,0.2537,36
0.58,0.4,0.2836,892
0.54,0.73,0.1343,757
0.7,0.54,0.2985,412
0.58,0.78,0.2537,77
0.44,0.62,0.2537,16
0.48,0.55,0.3582,175
0.52,0.52,0.194,328
0.46,0.67,0.1642,64
0.66,0.36,0.3284,303
0.6,0.64,0.194,334
0.52,0.63,0.1045,285
0.6,0.43,0.2239,591
0.62,0.41,0.2537,594
0.62,0.35,0.2836,575
0.54,0.77,0.0,105
0.54,0.88,0.194,5
0.58,0.88,0.1343,86
0.58,0.94,0.1343,99
0.62,0.94,0.1343,306
0.62,0.94,0.1045,34
0.56,0.73,0.0,102
0.52,0.83,0.1045,428
0.58,0.78,0.2239,171
0.42,0.58,0.1642,35
0.36,0.93,0.1343,80
0.38,0.83,0.2537,362
0.46,0.88,0.0896,33
0.54,0.52,0.194,291
0.5,0.31,0.1045,291
0.54,0.39,0.4627,387
0.4,0.47,0.2985,160
0.34,0.53,0.1343,146
0.46,0.38,0.1642,528
0.6,0.78,0.3284,260
0.5,0.48,0.2836,222
0.54,0.39,0.2836,446
0.38,0.82,0.0,178
0.36,0.76,0.0896,144
0.68,0.41,0.2239,346
0.7,0.39,0.1045,308
0.74,0.33,0.1343,532
0.54,0.83,0.1343,135
0.5,0.63,0.3582,20
0.5,0.59,0.3284,39
0.3,0.81,0.1045,3
0.32,0.66,0.1343,20
0.4,0.5,0.2239,185
0.36,0.46,0.3582,156
0.3,0.52,0.3284,39
0.3,0.49,0.2537,461
0.22,0.64,0.1045,4
0.32,0.45,0.1343,216
0.3,0.56,0.2537,151
0.28,0.52,0.3284,27
0.32,0.81,0.0896,162
0.32,0.81,0.0,44
0.4,0.58,0.1045,466
0.44,0.67,0.2239,171
0.4,0.87,0.0,264
0.56,0.64,0.2239,419
0.4,0.4,0.2985,217
0.34,0.49,0.2836,559
0.3,0.65,0.194,410
0.38,0.54,0.1642,201
0.34,0.61,0.1343,386
0.42,0.38,0.1343,267
0.34,0.53,0.0896,253
0.34,0.66,0.0896,172
0.4,0.62,0.2836,442
0.36,0.66,0.2239,27
0.36,0.66,0.2239,39
0.42,0.58,0.2537,380
0.34,0.66,0.1045,113
0.4,0.4,0.1642,374
